Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2024 Q3,Středočeský kraj 2024 Q3,Jihočeský kraj 2024 Q3,Plzeňský kraj 2024 Q3,Karlovarský kraj 2024 Q3,Ústecký kraj 2024 Q3,Liberecký kraj 2024 Q3,Královéhradecký kraj 2024 Q3,Pardubický kraj 2024 Q3,Kraj Vysočina 2024 Q3,Jihomoravský kraj 2024 Q3,Olomoucký kraj 2024 Q3,Moravskoslezský kraj 2024 Q3,Zlínský kraj 2024 Q3,Středočeský kraj 2019 Q1,Jihočeský kraj 2019 Q1,Plzeňský kraj 2019 Q1,Karlovarský kraj 2019 Q1,Ústecký kraj 2019 Q1,Liberecký kraj 2019 Q1,Královéhradecký kraj 2019 Q1,Pardubický kraj 2019 Q1,Kraj Vysočina 2019 Q1,Jihomoravský kraj 2019 Q1,Olomoucký kraj 2019 Q1,Moravskoslezský kraj 2019 Q1,Zlínský kraj 2019 Q1,Středočeský kraj 2016 Q4,Jihočeský kraj 2016 Q4,Plzeňský kraj 2016 Q4,Karlovarský kraj 2016 Q4,Ústecký kraj 2016 Q4,Liberecký kraj 2016 Q4,Královéhradecký kraj 2016 Q4,Pardubický kraj 2016 Q4,Kraj Vysočina 2016 Q4,Jihomoravský kraj 2016 Q4,Olomoucký kraj 2016 Q4,Moravskoslezský kraj 2016 Q4,Zlínský kraj 2016 Q4,Středočeský kraj 2017 Q1,Jihočeský kraj 2017 Q1,Plzeňský kraj 2017 Q1,Karlovarský kraj 2017 Q1,Ústecký kraj 2017 Q1,Liberecký kraj 2017 Q1,Královéhradecký kraj 2017 Q1,Pardubický kraj 2017 Q1,Kraj Vysočina 2017 Q1,Jihomoravský kraj 2017 Q1,Olomoucký kraj 2017 Q1,Moravskoslezský kraj 2017 Q1,Zlínský kraj 2017 Q1,Středočeský kraj 2024 Q2,Jihočeský kraj 2024 Q2,Plzeňský kraj 2024 Q2,Karlovarský kraj 2024 Q2,Ústecký kraj 2024 Q2,Liberecký kraj 2024 Q2,Královéhradecký kraj 2024 Q2,Pardubický kraj 2024 Q2,Kraj Vysočina 2024 Q2,Jihomoravský kraj 2024 Q2,Olomoucký kraj 2024 Q2,Moravskoslezský kraj 2024 Q2,Zlínský kraj 2024 Q2,Středočeský kraj 2018 Q4,Jihočeský kraj 2018 Q4,Plzeňský kraj 2018 Q4,Karlovarský kraj 2018 Q4,Ústecký kraj 2018 Q4,Liberecký kraj 2018 Q4,Královéhradecký kraj 2018 Q4,Pardubický kraj 2018 Q4,Kraj Vysočina 2018 Q4,Jihomoravský kraj 2018 Q4,Olomoucký kraj 2018 Q4,Moravskoslezský kraj 2018 Q4,Zlínský kraj 2018 Q4,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3,Středočeský kraj 2018 Q2,Jihočeský kraj 2018 Q2,Plzeňský kraj 2018 Q2,Karlovarský kraj 2018 Q2,Ústecký kraj 2018 Q2,Liberecký kraj 2018 Q2,Královéhradecký kraj 2018 Q2,Pardubický kraj 2018 Q2,Kraj Vysočina 2018 Q2,Jihomoravský kraj 2018 Q2,Olomoucký kraj 2018 Q2,Moravskoslezský kraj 2018 Q2,Zlínský kraj 2018 Q2,Středočeský kraj 2017 Q4,Jihočeský kraj 2017 Q4,Plzeňský kraj 2017 Q4,Karlovarský kraj 2017 Q4,Ústecký kraj 2017 Q4,Liberecký kraj 2017 Q4,Královéhradecký kraj 2017 Q4,Pardubický kraj 2017 Q4,Kraj Vysočina 2017 Q4,Jihomoravský kraj 2017 Q4,Olomoucký kraj 2017 Q4,Moravskoslezský kraj 2017 Q4,Zlínský kraj 2017 Q4,Středočeský kraj 2018 Q1,Jihočeský kraj 2018 Q1,Plzeňský kraj 2018 Q1,Karlovarský kraj 2018 Q1,Ústecký kraj 2018 Q1,Liberecký kraj 2018 Q1,Královéhradecký kraj 2018 Q1,Pardubický kraj 2018 Q1,Kraj Vysočina 2018 Q1,Jihomoravský kraj 2018 Q1,Olomoucký kraj 2018 Q1,Moravskoslezský kraj 2018 Q1,Zlínský kraj 2018 Q1,Středočeský kraj 2020 Q1,Jihočeský kraj 2020 Q1,Plzeňský kraj 2020 Q1,Karlovarský kraj 2020 Q1,Ústecký kraj 2020 Q1,Liberecký kraj 2020 Q1,Královéhradecký kraj 2020 Q1,Pardubický kraj 2020 Q1,Kraj Vysočina 2020 Q1,Jihomoravský kraj 2020 Q1,Olomoucký kraj 2020 Q1,Moravskoslezský kraj 2020 Q1,Zlínský kraj 2020 Q1,Středočeský kraj 2017 Q2,Jihočeský kraj 2017 Q2,Plzeňský kraj 2017 Q2,Karlovarský kraj 2017 Q2,Ústecký kraj 2017 Q2,Liberecký kraj 2017 Q2,Královéhradecký kraj 2017 Q2,Pardubický kraj 2017 Q2,Kraj Vysočina 2017 Q2,Jihomoravský kraj 2017 Q2,Olomoucký kraj 2017 Q2,Moravskoslezský kraj 2017 Q2,Zlínský kraj 2017 Q2,Středočeský kraj 2019 Q3,Jihočeský kraj 2019 Q3,Plzeňský kraj 2019 Q3,Karlovarský kraj 2019 Q3,Ústecký kraj 2019 Q3,Liberecký kraj 2019 Q3,Královéhradecký kraj 2019 Q3,Pardubický kraj 2019 Q3,Kraj Vysočina 2019 Q3,Jihomoravský kraj 2019 Q3,Olomoucký kraj 2019 Q3,Moravskoslezský kraj 2019 Q3,Zlínský kraj 2019 Q3,Středočeský kraj 2024 Q1,Jihočeský kraj 2024 Q1,Plzeňský kraj 2024 Q1,Karlovarský kraj 2024 Q1,Ústecký kraj 2024 Q1,Liberecký kraj 2024 Q1,Královéhradecký kraj 2024 Q1,Pardubický kraj 2024 Q1,Kraj Vysočina 2024 Q1,Jihomoravský kraj 2024 Q1,Olomoucký kraj 2024 Q1,Moravskoslezský kraj 2024 Q1,Zlínský kraj 2024 Q1,Středočeský kraj 2019 Q2,Jihočeský kraj 2019 Q2,Plzeňský kraj 2019 Q2,Karlovarský kraj 2019 Q2,Ústecký kraj 2019 Q2,Liberecký kraj 2019 Q2,Královéhradecký kraj 2019 Q2,Pardubický kraj 2019 Q2,Kraj Vysočina 2019 Q2,Jihomoravský kraj 2019 Q2,Olomoucký kraj 2019 Q2,Moravskoslezský kraj 2019 Q2,Zlínský kraj 2019 Q2,Středočeský kraj 2017 Q3,Jihočeský kraj 2017 Q3,Plzeňský kraj 2017 Q3,Karlovarský kraj 2017 Q3,Ústecký kraj 2017 Q3,Liberecký kraj 2017 Q3,Královéhradecký kraj 2017 Q3,Pardubický kraj 2017 Q3,Kraj Vysočina 2017 Q3,Jihomoravský kraj 2017 Q3,Olomoucký kraj 2017 Q3,Moravskoslezský kraj 2017 Q3,Zlínský kraj 2017 Q3,Součet
Česko,203,CZ,CZE,297420,249831,107826,91880,42161,113518,74912,93123,81939,77472,201958,94807,169568,94602,255952,121562,103737,49624,124721,89207,104886,89593,85662,214533,106048,184263,107456,247660,120214,102718,50729,124115,88974,103653,88040,83615,211096,104457,183598,106344,248376,120324,102710,50454,123881,89025,103647,88051,83694,211395,104388,183525,106347,248108,107250,91546,42067,112828,74669,92685,81467,77147,200808,94346,168517,94217,254814,121448,103623,49726,124437,89339,104655,89347,85306,213957,105715,183986,107235,254059,121355,103512,49840,124356,89409,104655,89270,85176,213709,105507,184073,107189,252676,121040,103183,49947,123985,89443,104328,88931,84715,213147,105151,183771,106974,250817,120745,102966,50216,123864,89341,104062,88546,84193,212486,104691,183582,106680,251868,120871,103074,50050,123863,89415,104164,88721,84415,212842,104852,183700,106888,260338,122384,104357,49527,125657,88941,105648,90661,86845,216821,107046,185649,108069,249095,120551,102802,50350,123900,89226,103885,88215,83932,211838,104512,183438,106471,258590,122237,104220,49720,125393,89199,105448,90228,86475,215948,106722,185210,108017,248421,107724,92204,42575,113348,75224,93204,81838,77587,201468,94863,169395,94852,257178,121865,103902,49639,125089,89131,105137,89898,85966,215190,106414,184693,107677,250237,120828,103040,50342,124012,89448,104128,88496,84196,212422,104790,183735,106749,25661897
Vietnam,704,VN,VNM,4493,2059,904,2230,2723,3269,675,537,551,359,1378,562,1058,308,1877,942,2288,2925,3503,714,542,497,397,1323,549,1078,298,2032,1037,2514,3148,3659,824,583,530,456,1435,546,1109,293,1994,1013,2500,3145,3646,815,573,532,453,1430,557,1122,300,2022,905,2211,2726,3261,662,538,539,364,1365,557,1054,308,1874,960,2333,2962,3496,730,548,497,399,1332,550,1078,302,1879,973,2364,3000,3528,737,554,495,403,1356,556,1087,305,1868,977,2403,3039,3558,751,561,498,406,1362,561,1094,309,1918,994,2465,3076,3563,769,564,508,419,1379,553,1114,306,1886,985,2448,3060,3560,763,560,497,421,1371,555,1099,308,1861,901,2194,2825,3437,699,529,494,384,1300,536,1062,284,1965,1008,2496,3131,3636,796,569,525,434,1413,562,1113,306,1873,921,2204,2862,3471,713,533,495,385,1306,544,1056,292,2010,897,2192,2732,3269,665,538,533,363,1356,549,1040,311,1866,928,2263,2884,3473,714,531,493,385,1317,550,1074,300,1919,998,2503,3112,3597,785,569,528,425,1398,562,1123,305,275302
Ukrajina,804,UA,UKR,18074,6149,1045,2175,969,1799,1096,1390,1614,959,2826,681,677,417,3085,630,1304,624,1162,719,814,776,400,1585,437,275,245,2922,688,1308,598,1154,719,850,823,437,1861,406,268,271,2931,678,1309,605,1151,717,850,812,435,1828,392,272,267,5882,988,2068,932,1755,1034,1287,1491,863,2596,656,664,405,3021,633,1291,620,1153,719,810,779,406,1576,448,277,247,2977,640,1300,620,1151,706,828,780,408,1607,422,273,248,2978,639,1305,621,1158,710,837,788,417,1641,410,277,251,2912,641,1308,606,1134,699,841,802,422,1687,388,273,258,2917,646,1301,621,1138,707,832,790,421,1664,405,271,255,3273,649,1389,642,1175,739,808,799,415,1524,431,269,261,2930,667,1310,606,1118,714,853,813,431,1806,389,270,262,3199,644,1333,639,1182,717,806,789,412,1560,452,274,256,5265,857,1827,838,1512,892,1074,1261,712,2232,578,528,352,3159,633,1320,628,1176,726,811,782,407,1570,454,274,250,2923,650,1313,604,1122,711,849,798,432,1750,389,274,260,217936
Slovensko,703,SK,SVK,10443,3139,585,844,307,779,504,480,534,350,4028,629,1736,1031,2367,492,668,259,602,449,427,426,311,2482,496,1328,848,2076,458,617,253,530,395,391,373,295,1999,454,1281,821,2106,457,611,252,542,398,395,378,299,2061,458,1243,824,3080,583,833,295,773,500,470,525,344,3914,628,1709,1018,2320,495,654,255,587,444,415,424,304,2426,493,1304,841,2304,494,655,254,584,434,414,421,305,2370,494,1294,836,2255,485,650,255,577,425,413,414,311,2316,485,1275,834,2189,475,634,257,564,410,406,391,307,2200,482,1245,825,2209,482,644,257,560,417,406,403,306,2263,481,1255,837,2504,502,696,270,640,455,426,451,316,2723,521,1404,872,2153,464,620,254,543,409,402,384,303,2108,471,1241,823,2459,505,692,267,616,458,425,435,313,2607,511,1356,861,3056,585,833,292,754,495,467,519,343,3819,628,1681,1009,2407,494,679,263,609,453,432,434,310,2536,504,1336,855,2174,470,632,256,554,412,411,387,310,2160,479,1232,825,183716
Německo,276,DE,DEU,745,226,97,236,455,1195,56,43,30,26,100,57,48,19,227,97,255,320,1300,79,47,32,25,104,64,56,21,215,93,256,331,1372,77,48,33,25,95,62,53,22,212,92,256,329,1360,77,48,33,25,94,62,53,21,226,95,238,443,1231,56,44,29,26,100,57,50,18,225,100,253,336,1309,81,47,32,25,105,64,58,21,223,97,261,335,1321,80,48,31,24,107,64,58,20,220,93,256,335,1334,79,48,32,24,107,64,57,20,218,91,257,335,1329,79,50,32,25,101,62,53,21,219,91,255,335,1331,78,50,32,25,103,62,56,20,231,96,258,231,1280,76,52,30,25,107,68,56,18,214,92,258,330,1340,78,48,34,26,96,63,54,20,231,94,255,265,1281,75,48,31,25,107,66,54,19,228,94,247,423,1229,54,45,29,26,104,58,51,19,231,95,256,280,1294,78,48,31,25,105,68,54,19,214,90,258,331,1338,78,48,32,27,98,62,54,20,42049
Polsko,616,PL,POL,664,190,40,62,41,105,130,282,68,28,129,169,1042,39,178,38,60,33,113,151,296,67,21,123,150,850,38,169,40,53,30,117,139,274,64,23,114,129,718,33,170,40,56,29,115,138,288,64,22,116,133,764,35,190,38,62,40,103,130,284,69,29,130,168,1028,39,177,37,61,34,113,147,303,67,21,124,145,840,37,173,37,60,33,114,144,303,63,22,124,146,823,38,171,37,60,32,117,145,305,62,22,122,141,796,38,172,38,59,31,113,139,306,66,22,117,139,781,37,173,39,60,31,117,142,308,63,22,120,142,795,36,175,41,63,38,111,152,305,70,22,128,151,879,39,169,37,57,31,115,140,292,65,22,113,134,781,36,177,39,62,34,108,153,301,69,21,127,153,869,38,191,39,63,41,104,129,287,69,30,129,170,1023,40,176,40,60,34,111,152,300,69,21,126,151,862,38,171,38,58,31,114,140,304,66,22,116,139,784,37,33720
Rusko,643,RU,RUS,3716,667,32,60,248,188,43,36,39,14,230,50,62,33,392,22,43,192,141,45,24,21,16,120,38,49,22,332,19,40,185,124,39,20,18,15,96,31,45,19,339,21,41,188,123,38,19,19,14,104,35,46,19,653,34,60,244,191,45,37,37,12,228,51,64,33,372,22,39,192,137,41,23,21,15,118,39,47,22,362,21,39,195,133,40,24,21,16,117,38,48,23,361,21,41,194,135,40,23,21,14,121,37,48,21,360,19,41,189,129,40,22,18,14,115,37,46,19,363,20,43,187,131,40,22,21,14,115,39,47,21,451,21,42,209,153,42,30,21,12,126,39,53,25,357,21,41,186,128,38,20,17,14,111,36,45,19,430,20,42,196,147,43,27,23,12,124,37,49,24,646,35,64,240,189,41,37,35,12,224,51,60,33,414,21,43,192,148,44,25,23,16,123,38,50,24,358,19,40,189,125,38,21,17,14,108,35,45,19,19146
Rumunsko,642,RO,ROU,1391,435,106,408,59,216,107,51,75,29,226,85,30,84,183,53,257,36,110,37,40,54,31,158,47,16,57,126,32,198,28,75,21,33,46,17,113,39,14,41,132,37,203,27,78,21,34,48,18,122,40,13,42,412,104,403,57,212,107,52,75,30,223,84,30,85,178,49,250,35,101,32,40,54,28,154,44,15,52,168,49,233,33,100,30,39,55,32,142,46,14,51,153,48,230,31,94,28,40,53,28,135,46,14,51,145,45,207,28,82,22,37,50,28,131,45,13,47,145,47,223,30,87,25,40,52,28,129,47,14,51,225,68,292,39,128,48,37,55,29,173,65,18,62,136,42,210,27,82,21,35,49,21,121,40,13,43,210,64,269,36,120,44,41,54,34,171,61,17,59,395,99,395,54,210,99,51,76,29,221,83,27,84,202,59,262,36,116,42,41,54,36,167,60,17,58,141,43,208,29,83,22,38,50,28,126,43,13,46,18337
Bulharsko,100,BG,BGR,929,293,51,132,65,139,52,34,37,22,137,86,67,26,242,52,79,30,123,41,26,26,44,128,80,71,27,208,58,42,28,110,38,22,24,48,126,79,59,25,219,58,45,29,112,38,23,26,47,125,79,63,25,288,48,129,60,138,53,34,36,20,137,87,67,26,242,53,75,30,118,40,24,25,43,124,80,71,27,236,53,74,31,117,40,25,23,42,119,80,70,27,237,55,72,30,113,40,25,26,43,121,80,67,27,229,56,64,28,112,40,25,25,43,121,79,61,25,236,55,69,28,112,40,25,26,43,121,80,64,26,255,55,87,35,130,48,27,26,44,134,84,77,27,231,58,58,29,111,38,22,27,47,121,78,62,25,246,53,85,33,126,45,27,24,46,132,83,72,27,291,50,128,55,138,51,35,35,22,137,86,68,26,247,50,85,32,124,43,27,25,45,132,82,71,27,232,57,63,29,111,39,23,27,47,123,78,65,25,15613
Velká Británie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,45,56,18,37,68,32,47,28,132,45,65,47,161,42,50,19,29,62,29,44,23,119,40,64,40,168,44,52,19,30,63,30,42,24,119,39,64,41,0,0,0,0,0,0,0,0,0,0,0,0,0,192,42,55,17,37,68,31,47,27,135,43,63,43,189,43,52,17,37,65,30,46,25,133,43,61,44,183,41,52,18,36,64,31,48,24,132,41,62,43,172,41,55,19,35,65,32,46,24,124,40,61,42,182,40,55,18,35,63,33,47,25,129,42,64,43,208,45,55,18,40,71,38,45,29,146,44,71,50,174,43,56,18,32,65,30,43,24,119,39,61,40,206,43,55,17,39,69,37,46,27,137,44,67,48,0,0,0,0,0,0,0,0,0,0,0,0,0,202,45,56,17,38,67,33,45,28,132,44,67,47,175,42,54,18,33,65,31,44,24,123,40,60,41,10175
